tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282800_1551100.las,18702,78400,0.2385,37787,8436,0.8175,37787,104879,0.3603,2.1795,61264,104879,0.5841
tile_282800_1551200.las,24621,78400,0.314,70125,12666,0.847,70125,146446,0.4788,1.7036,59863,146446,0.4088
tile_282800_1551300.las,25683,78400,0.3276,70412,11459,0.86,70412,165814,0.4246,1.7014,96787,165814,0.5837
tile_282800_1551400.las,16211,78400,0.2068,38049,6540,0.8533,38049,138018,0.2757,2.2701,109469,138018,0.7932
tile_282800_1551500.las,13947,78400,0.1779,31381,5074,0.8608,31381,105169,0.2984,2.1517,83809,105169,0.7969
tile_282800_1551600.las,18361,78400,0.2342,44490,4730,0.9039,44490,152558,0.2916,2.1483,131026,152558,0.8589
tile_282800_1551700.las,22811,78400,0.291,57074,5322,0.9147,57074,154688,0.369,1.8461,130237,154688,0.8419
tile_282800_1551800.las,20739,78400,0.2645,45681,6870,0.8693,45681,125421,0.3642,1.832,96347,125421,0.7682
tile_282800_1551900.las,14587,67200,0.2171,29630,4601,0.8656,29630,95320,0.3108,2.0731,75956,95320,0.7969
tile_282900_1550000.las,9906,67200,0.1474,15472,2443,0.8636,15472,66803,0.2316,2.3681,59388,66803,0.889
tile_282900_1550100.las,14223,78400,0.1814,25014,3452,0.8787,25014,135878,0.1841,2.6547,126637,135878,0.932
tile_282900_1550200.las,15406,78400,0.1965,33530,4570,0.8801,33530,169353,0.198,2.6141,154106,169353,0.91
tile_282900_1550300.las,18225,78400,0.2325,39830,6016,0.8688,39830,133220,0.299,2.1393,108320,133220,0.8131
tile_282900_1550400.las,18075,78400,0.2305,36758,5681,0.8661,36758,117841,0.3119,2.0004,95667,117841,0.8118
tile_282900_1550500.las,19237,78400,0.2454,50426,4909,0.9113,50426,169254,0.2979,2.0666,145730,169254,0.861
tile_282900_1550600.las,21050,78400,0.2685,55910,4845,0.9203,55910,184016,0.3038,2.0627,158838,184016,0.8632
tile_282900_1550700.las,11538,78400,0.1472,20771,2838,0.8798,20771,111820,0.1858,2.5868,103676,111820,0.9272
tile_282900_1550800.las,14446,78400,0.1843,29885,5201,0.8518,29885,92928,0.3216,2.1121,67977,92928,0.7315
tile_282900_1550900.las,15035,78400,0.1918,36652,5448,0.8706,36652,154407,0.2374,2.5551,126601,154407,0.8199
tile_282900_1551000.las,12131,78400,0.1547,26957,5610,0.8277,26957,166173,0.1622,2.9533,145287,166173,0.8743
tile_282900_1551100.las,16191,78400,0.2065,34424,5998,0.8516,34424,119671,0.2877,2.1845,95932,119671,0.8016
tile_282900_1551200.las,14433,78400,0.1841,29919,6012,0.8327,29919,121281,0.2467,2.4464,96077,121281,0.7922
tile_282900_1551300.las,16610,78400,0.2119,38452,5313,0.8786,38452,160790,0.2391,2.3828,138205,160790,0.8595
tile_282900_1551400.las,23695,78400,0.3022,61607,8855,0.8743,61607,155254,0.3968,1.7561,108264,155254,0.6973
tile_282900_1551500.las,20978,78400,0.2676,51128,9080,0.8492,51128,110190,0.464,1.4887,64189,110190,0.5825
tile_282900_1551600.las,22451,78400,0.2864,61197,7466,0.8913,61197,141881,0.4313,1.6538,99586,141881,0.7019
tile_282900_1551700.las,24847,78400,0.3169,66329,7127,0.903,66329,162197,0.4089,1.7666,119342,162197,0.7358
tile_282900_1551800.las,20505,78400,0.2615,51521,5092,0.9101,51521,150658,0.342,1.9708,123122,150658,0.8172
tile_282900_1551900.las,14722,67200,0.2191,29376,5535,0.8415,29376,89472,0.3283,1.9868,67665,89472,0.7563
tile_283000_1550000.las,13654,67200,0.2032,30548,4599,0.8691,30548,78675,0.3883,1.9193,50783,78675,0.6455
tile_283000_1550100.las,11027,78400,0.1407,21273,2701,0.8873,21273,115417,0.1843,2.6428,105817,115417,0.9168
tile_283000_1550200.las,12634,78400,0.1611,25518,3654,0.8747,25518,148253,0.1721,2.7557,135503,148253,0.914
tile_283000_1550300.las,11423,78400,0.1457,24166,3528,0.8726,24166,154585,0.1563,2.8669,142978,154585,0.9249
tile_283000_1550400.las,16842,78400,0.2148,33549,5025,0.8697,33549,125636,0.267,2.2192,109811,125636,0.874
tile_283000_1550500.las,21230,78400,0.2708,53392,4758,0.9182,53392,154708,0.3451,1.8766,135206,154708,0.8739
tile_283000_1550600.las,20080,78400,0.2561,54491,3931,0.9327,54491,194282,0.2805,2.1183,176349,194282,0.9077
tile_283000_1550700.las,11721,78400,0.1495,24943,2843,0.8977,24943,139686,0.1786,2.6203,131420,139686,0.9408
tile_283000_1550800.las,11227,78400,0.1432,18212,3604,0.8348,18212,82400,0.221,2.457,72035,82400,0.8742
tile_283000_1550900.las,14351,78400,0.183,32910,6439,0.8364,32910,130218,0.2527,2.4418,102976,130218,0.7908
tile_283000_1551000.las,20426,78400,0.2605,55218,9896,0.848,55218,163771,0.3372,2.217,104243,163771,0.6365
tile_283000_1551100.las,20451,78400,0.2609,56304,6813,0.8921,56304,138805,0.4056,1.8126,96929,138805,0.6983
tile_283000_1551200.las,11612,78400,0.1481,19961,3476,0.8517,19961,107096,0.1864,2.6932,96187,107096,0.8981
tile_283000_1551300.las,15189,78400,0.1937,35139,4095,0.8956,35139,152506,0.2304,2.4123,135641,152506,0.8894
tile_283000_1551400.las,27140,78400,0.3462,69627,9652,0.8783,69627,150124,0.4638,1.5506,92127,150124,0.6137
tile_283000_1551500.las,25452,78400,0.3246,64124,8711,0.8804,64124,128523,0.4989,1.3716,79216,128523,0.6164
tile_283000_1551600.las,24963,78400,0.3184,60767,9334,0.8668,60767,118576,0.5125,1.3134,68389,118576,0.5768
tile_283000_1551700.las,24646,78400,0.3144,70381,9129,0.8852,70381,164077,0.429,1.6906,107228,164077,0.6535
