tile,occupied_voxels,total_voxels,voxel_occupancy_ratio
tile_283000_1551300.las,15189,78400,0.1937
tile_283000_1551400.las,27140,78400,0.3462
tile_283000_1551500.las,25452,78400,0.3246
tile_283000_1551600.las,24963,78400,0.3184
tile_283000_1551700.las,24646,78400,0.3144
tile_283000_1551800.las,23405,78400,0.2985
tile_283000_1551900.las,17840,67200,0.2655
tile_283100_1550000.las,10883,67200,0.1619
tile_283100_1550100.las,13511,78400,0.1723
tile_283100_1550200.las,11916,78400,0.152
tile_283100_1550300.las,11445,78400,0.146
tile_283100_1550400.las,11360,78400,0.1449
tile_283100_1550500.las,18913,78400,0.2412
tile_283100_1550600.las,19840,78400,0.2531
tile_283100_1550700.las,12418,78400,0.1584
tile_283100_1550800.las,9194,78400,0.1173
tile_283100_1550900.las,13416,78400,0.1711
tile_283100_1551000.las,23695,78400,0.3022
tile_283100_1551100.las,17983,78400,0.2294
tile_283100_1551200.las,9676,78400,0.1234
tile_283100_1551300.las,21488,78400,0.2741
tile_283100_1551400.las,26254,78400,0.3349
tile_283100_1551500.las,27550,78400,0.3514
tile_283100_1551600.las,22934,78400,0.2925
tile_283100_1551700.las,27311,78400,0.3484
tile_283100_1551800.las,28304,78400,0.361
tile_283100_1551900.las,26361,67200,0.3923
tile_283200_1550000.las,1543,27300,0.0565
tile_283200_1550100.las,11183,78400,0.1426
tile_283200_1550200.las,13684,78400,0.1745
tile_283200_1550300.las,13394,78400,0.1708
tile_283200_1550400.las,8777,78400,0.112
tile_283200_1550500.las,11624,78400,0.1483
tile_283200_1550600.las,15613,78400,0.1991
tile_283200_1550700.las,13017,78400,0.166
tile_283200_1550800.las,11669,78400,0.1488
tile_283200_1550900.las,14030,78400,0.179
tile_283200_1551000.las,20596,78400,0.2627
tile_283200_1551100.las,18645,78400,0.2378
tile_283200_1551200.las,16012,78400,0.2042
tile_283200_1551300.las,20721,78400,0.2643
tile_283200_1551400.las,20426,78400,0.2605
tile_283200_1551500.las,30346,78400,0.3871
tile_283200_1551600.las,25423,78400,0.3243
tile_283200_1551700.las,26889,78400,0.343
tile_283200_1551800.las,30245,78400,0.3858
tile_283200_1551900.las,26230,67200,0.3903
tile_283300_1550000.las,58,14994,0.0039
tile_283300_1550100.las,7749,53340,0.1453
tile_283300_1550200.las,11142,78400,0.1421
tile_283300_1550300.las,5491,78400,0.07
tile_283300_1550400.las,8509,78400,0.1085
tile_283300_1550500.las,7163,78400,0.0914
tile_283300_1550600.las,15818,78400,0.2018
tile_283300_1550700.las,15315,78400,0.1953
tile_283300_1550800.las,14872,78400,0.1897
tile_283300_1550900.las,14031,78400,0.179
tile_283300_1551000.las,17032,78400,0.2172
tile_283300_1551100.las,23812,78400,0.3037
tile_283300_1551200.las,21942,78400,0.2799
tile_283300_1551300.las,17701,78400,0.2258
