tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282400_1551300.las,18641,78400,0.2378,41648,6748,0.8606,41648,109031,0.382,1.9989,71932,109031,0.6597,100.0,0.567397801876068,0.06829023246513,0.392365038394928,0.691010892391205
tile_282400_1551400.las,12865,78400,0.1641,25262,5875,0.8113,25262,131347,0.1923,2.9203,106114,131347,0.8079,100.0,0.641009032726288,0.067598936038288,0.488005012273788,0.76099568605423
tile_282400_1551500.las,11879,78400,0.1515,25765,4315,0.8565,25765,171328,0.1504,3.0162,152891,171328,0.8924,100.0,0.727064227461815,0.027164352051035,0.664332389831543,0.774678349494934
tile_282400_1551600.las,11625,78400,0.1483,26917,2591,0.9122,26917,161210,0.167,2.7323,151484,161210,0.9397,100.0,0.710451548099518,0.022463754476694,0.671776235103607,0.76284271478653
tile_282400_1551700.las,12153,78400,0.155,22997,2599,0.8985,22997,106922,0.2151,2.4359,97490,106922,0.9118,100.0,0.719460832476616,0.028758549926728,0.637395024299622,0.772403061389923
tile_282400_1551800.las,16782,78400,0.2141,40802,4570,0.8993,40802,135360,0.3014,2.1004,112300,135360,0.8296,100.0,0.702348207831383,0.046501707809667,0.51675808429718,0.758256793022156
tile_282400_1551900.las,15454,67200,0.23,39945,5147,0.8859,39945,138136,0.2892,2.2036,111416,138136,0.8066,100.0,0.672194845080376,0.08385100464472,0.434578567743301,0.771761000156403
tile_282500_1550000.las,14944,67200,0.2224,35266,5803,0.8587,35266,149219,0.2363,2.5572,121924,149219,0.8171,100.0,0.555288291573524,0.028144722723133,0.488315969705582,0.607112407684326
tile_282500_1550100.las,13392,78400,0.1708,26442,5099,0.8383,26442,159934,0.1653,3.0074,138829,159934,0.868,100.0,0.560237468779087,0.043410732447027,0.402456104755402,0.608679473400116
tile_282500_1550200.las,16962,78400,0.2164,34030,8190,0.806,34030,112663,0.3021,2.2105,76397,112663,0.6781,100.0,0.463620505928993,0.059951729370987,0.332940518856049,0.608994543552399
tile_282500_1550300.las,19163,78400,0.2444,50216,7376,0.8719,50216,159994,0.3139,2.0518,122333,159994,0.7646,100.0,0.566550981998444,0.056624028922874,0.401393443346024,0.623742580413818
tile_282500_1550400.las,27131,78400,0.3461,87209,9175,0.9048,87209,200694,0.4345,1.6359,137433,200694,0.6848,100.0,0.566054690480232,0.026792208824636,0.501745700836182,0.61270272731781
tile_282500_1550500.las,25304,78400,0.3228,77920,9515,0.8912,77920,158783,0.4907,1.4366,93501,158783,0.5889,100.0,0.610237902998924,0.064703943654103,0.437473386526108,0.743425607681274
tile_282500_1550600.las,18997,78400,0.2423,36466,6530,0.8481,36466,95238,0.3829,1.7333,67077,95238,0.7043,100.0,0.677234687209129,0.033329830868716,0.586930871009827,0.750417709350586
tile_282500_1550700.las,20863,78400,0.2661,54252,6553,0.8922,54252,147547,0.3677,1.8375,113352,147547,0.7682,100.0,0.71334185063839,0.025320565633708,0.646546006202698,0.765377104282379
tile_282500_1550800.las,12766,78400,0.1628,28127,3330,0.8941,28127,166098,0.1693,2.7655,153123,166098,0.9219,100.0,0.707170639634132,0.027659481942056,0.638562560081482,0.760994791984558
tile_282500_1550900.las,20260,78400,0.2584,49360,6675,0.8809,49360,147833,0.3339,2.1181,108978,147833,0.7372,100.0,0.712666920423508,0.045995281146206,0.502012968063354,0.752452909946442
tile_282500_1551000.las,20355,78400,0.2596,41772,7276,0.8517,41772,104646,0.3992,1.8001,65977,104646,0.6305,100.0,0.667409229576588,0.056414777264486,0.445995301008224,0.745712637901306
tile_282500_1551100.las,29438,78400,0.3755,88848,9496,0.9034,88848,153617,0.5784,1.1993,77401,153617,0.5039,100.0,0.551662188768387,0.081766423108826,0.380491256713867,0.682827830314636
tile_282500_1551200.las,27634,78400,0.3525,84735,7981,0.9139,84735,179529,0.472,1.5926,118486,179529,0.66,100.0,0.55695373415947,0.070412503523705,0.317494243383408,0.640371799468994
tile_282500_1551300.las,21787,78400,0.2779,55662,6245,0.8991,55662,138441,0.4021,1.8229,99852,138441,0.7213,100.0,0.59804475158453,0.067212367639321,0.415821135044098,0.695968508720398
tile_282500_1551400.las,13644,78400,0.174,29453,5908,0.8329,29453,115024,0.2561,2.4311,88807,115024,0.7721,100.0,0.635880227386951,0.062361006188741,0.460598975419998,0.770049571990967
tile_282500_1551500.las,16068,78400,0.2049,40471,6853,0.8552,40471,168551,0.2401,2.5632,132475,168551,0.786,100.0,0.725675317049026,0.033548673542602,0.636443138122559,0.78325492143631
tile_282500_1551600.las,11845,78400,0.1511,27326,3058,0.8994,27326,167164,0.1635,2.7912,155211,167164,0.9285,100.0,0.738614571690559,0.025822069671265,0.654757499694824,0.780165910720825
tile_282500_1551700.las,12110,78400,0.1545,24040,2890,0.8927,24040,123709,0.1943,2.5647,113336,123709,0.9161,100.0,0.734363325238228,0.033794534653902,0.638191401958466,0.78404426574707
tile_282500_1551800.las,16388,78400,0.209,37751,3751,0.9096,37751,115001,0.3283,1.9603,97609,115001,0.8488,100.0,0.694120186567307,0.021071876661654,0.627189457416534,0.738806307315826
